# N_blocks dG1_mean dG1_std dG2_mean dG2_std
3.000000000000000000e+00 -4.838443195370534688e+00 3.923112280979728084e-01 -5.195881523911110911e+00 3.197584311110078792e-01
4.000000000000000000e+00 -4.526830476036599826e+00 8.787361804878055516e-01 -4.915329853918383840e+00 8.187170464262996106e-01
5.000000000000000000e+00 -4.651377944181215085e+00 6.021633943376869524e-01 -5.022693985337168598e+00 5.803130115755086305e-01
6.000000000000000000e+00 -4.644360198929304850e+00 5.791601471767474640e-01 -5.028051144808123318e+00 5.409752674740108125e-01
7.000000000000000000e+00 -4.517499589937808757e+00 6.506962681426692319e-01 -4.917141084096487091e+00 6.112901304898007426e-01
8.000000000000000000e+00 -4.232992279200888497e+00 7.917321511764264796e-01 -4.667874166775280109e+00 7.197812093297737412e-01
9.000000000000000000e+00 -4.609264656147002093e+00 4.838416961382547843e-01 -4.994686079300853621e+00 4.495079381081912850e-01
1.000000000000000000e+01 -4.359405684477387410e+00 6.362917448034255408e-01 -4.778767462066052296e+00 6.033498197951492337e-01
1.100000000000000000e+01 -4.332654177506875648e+00 6.124881066595779799e-01 -4.754014681588913938e+00 5.731517453106036442e-01
1.200000000000000000e+01 -4.156897310612156282e+00 6.782353011226276429e-01 -4.606846456291253666e+00 6.165222902548143091e-01
1.300000000000000000e+01 -4.306932779591862825e+00 5.405194124501859765e-01 -4.732488994453838416e+00 4.978484175234194065e-01
1.400000000000000000e+01 -4.233885252367310947e+00 5.891077013371766036e-01 -4.682404839973763444e+00 5.412930504980673074e-01
1.500000000000000000e+01 -3.993477181706583945e+00 6.604723688225492273e-01 -4.475612125087287119e+00 6.086777060285790686e-01
1.600000000000000000e+01 -3.031479753721904036e+00 1.389616710620217299e+00 -4.246720998130768976e+00 7.098928179322746557e-01
1.700000000000000000e+01 -3.110946463050720201e+00 1.289707848404155754e+00 -4.263563540177996991e+00 6.552040664393316005e-01
1.800000000000000000e+01 -3.033124324812790817e+00 1.257177455395576571e+00 -4.213382836155877165e+00 6.741132740353654729e-01
1.900000000000000000e+01 -3.151662339392688583e+00 1.192440764097971950e+00 -4.281473785270693888e+00 6.488974763057394624e-01
2.000000000000000000e+01 -3.004282199255423613e+00 1.145385285127074271e+00 -4.119320439038764547e+00 6.493192568231518358e-01
2.100000000000000000e+01 -2.330078873170501108e+00 1.279888750749317294e+00 -3.795595001070732888e+00 7.026597370280650567e-01
2.200000000000000000e+01 -3.111673544402955738e+00 1.035005580978498152e+00 -4.150721288248063523e+00 6.060784462762897062e-01
2.300000000000000000e+01 -3.059012678539611674e+00 9.969067719790475346e-01 -4.094658293165974960e+00 5.905713701833592566e-01
2.400000000000000000e+01 -2.655370276498678184e+00 1.142024478084209704e+00 -4.022079218883576779e+00 6.132470147852903120e-01
