# N_blocks dG1_mean dG1_std dG2_mean dG2_std
3.000000000000000000e+00 -9.454855760141297694e+00 4.562223460969142552e-01 -9.647754769703487554e+00 4.837296419379329415e-01
4.000000000000000000e+00 -8.564260627424090444e+00 1.388277718452304077e+00 -8.780079316347928042e+00 1.371970759441739185e+00
5.000000000000000000e+00 -5.844882912359862459e+00 3.993697884952362998e+00 -7.392420696964268068e+00 2.662092717808944187e+00
6.000000000000000000e+00 -9.029399091446641989e+00 7.585266313699801088e-01 -9.232820062905540581e+00 7.532607855070981850e-01
7.000000000000000000e+00 -8.085398844528528528e+00 1.404763564961290401e+00 -8.328089783293526338e+00 1.350554057548732256e+00
8.000000000000000000e+00 -6.426043203922795044e+00 2.428382105171135841e+00 -7.360935416145506949e+00 1.819005813300210495e+00
9.000000000000000000e+00 -3.504529909437988699e+00 4.758422222379961930e+00 -6.926021787226670057e+00 1.861008102674837517e+00
1.000000000000000000e+01 -3.004333667683404929e+00 4.478728696627441330e+00 -6.424160997934118100e+00 2.103140716323442128e+00
1.100000000000000000e+01 -6.548684721438852385e+00 1.814505755521114594e+00 -7.297928434399088893e+00 1.428227682892851069e+00
1.200000000000000000e+01 -4.619101617324263387e+00 3.568790661319234836e+00 -7.258769129486327465e+00 1.462504862943294848e+00
1.300000000000000000e+01 -1.240018016454857541e+00 4.295259231652831744e+00 -5.828892113807910391e+00 1.829600963234205846e+00
1.400000000000000000e+01 -1.584254150987577159e+00 4.033697302169409582e+00 -5.538731604084188298e+00 1.936953512368236874e+00
1.500000000000000000e+01 -7.939745489410718893e-01 4.233386627520700607e+00 -4.306098138585886304e+00 2.751968354399930039e+00
1.600000000000000000e+01 2.744101557283256110e-01 4.122591077391229319e+00 -3.884656127370312628e+00 2.446884061751949169e+00
1.700000000000000000e+01 2.430464042313209116e+00 4.690198780276894297e+00 -5.240584632648018548e+00 1.794386161888791742e+00
1.800000000000000000e+01 3.088591628864953975e+00 4.578769372316586761e+00 -4.855105388294577828e+00 1.810400507223976385e+00
1.900000000000000000e+01 4.947016314988069929e+00 4.719633325326924478e+00 -3.155283229084138608e+00 2.403283929314613765e+00
2.000000000000000000e+01 3.883836519204545201e+00 4.588747497722982516e+00 -3.437433685561766428e+00 2.201318630122981901e+00
2.100000000000000000e+01 7.839921941483546597e+00 4.413812478531993655e+00 -1.900282337504629604e+00 2.191729067794885744e+00
2.200000000000000000e+01 3.326417030459605240e+00 3.739175895984455433e+00 -3.626474719889862808e+00 1.759400259286028279e+00
2.300000000000000000e+01 3.077091116813726934e+00 4.093644844107021008e+00 -3.193966803818570455e+00 2.155621717707493445e+00
2.400000000000000000e+01 6.798908033842059773e+00 4.386939562563432204e+00 -2.075876964070928477e+00 2.220018794136318530e+00
