# N_blocks dG1_mean dG1_std dG2_mean dG2_std
3.000000000000000000e+00 -3.759226497177412529e+00 6.170827813928516647e-01 -3.758834864656201091e+00 6.289348098423395150e-01
4.000000000000000000e+00 -3.733064617406280927e+00 5.600358859211991280e-01 -3.734538586966423157e+00 5.559921027395253734e-01
5.000000000000000000e+00 -3.179383550435538996e+00 1.070183146554904097e+00 -3.168382102904584663e+00 1.078974080193743745e+00
6.000000000000000000e+00 -3.406684397808277698e+00 8.586117358125864296e-01 -3.400481983378172757e+00 8.652339301180924647e-01
7.000000000000000000e+00 -3.308933445819596475e+00 8.121002475097608420e-01 -3.318599447377043266e+00 8.083272901121820730e-01
8.000000000000000000e+00 -3.156502973085481223e+00 7.883434489539513645e-01 -3.165331665790714233e+00 7.799405598362063596e-01
9.000000000000000000e+00 -3.095765085134801531e+00 8.194647122744515011e-01 -3.098637778486778682e+00 8.167374875059588701e-01
1.000000000000000000e+01 -2.826416312892621630e+00 8.310501356961361719e-01 -2.836459082449928726e+00 8.259094348204957248e-01
1.100000000000000000e+01 -3.141109602898281228e+00 6.940348886247884597e-01 -3.150410125211972723e+00 6.899372076287361155e-01
1.200000000000000000e+01 -3.056291580749537218e+00 6.526872820297797695e-01 -3.062548946124877158e+00 6.531987933457515938e-01
1.300000000000000000e+01 -2.639023020736187330e+00 7.925813330587134775e-01 -2.675469309401102169e+00 7.786954327117266983e-01
1.400000000000000000e+01 -2.376475741192426216e+00 9.962709722610516572e-01 -2.361565694799608206e+00 1.022396103210857943e+00
1.500000000000000000e+01 -1.774558991064144164e+00 1.154398649778922259e+00 -1.802446224181469159e+00 1.169399534637282523e+00
1.600000000000000000e+01 -2.614049330811053728e+00 7.631820998168273862e-01 -2.701884501528036608e+00 7.155568476419913448e-01
1.700000000000000000e+01 -1.948632573001199297e+00 9.443059167190621661e-01 -2.174018330459035475e+00 8.516351177129540817e-01
1.800000000000000000e+01 -2.027844562522778560e+00 8.839101666229521870e-01 -2.089844088041615588e+00 8.638115309623016769e-01
1.900000000000000000e+01 -2.219820480596311985e+00 8.077121995983945757e-01 -2.242579766112974937e+00 8.007947079608921381e-01
2.000000000000000000e+01 -2.220551517133964037e+00 7.696869051421172392e-01 -2.295449512895090471e+00 7.444738514901769744e-01
2.100000000000000000e+01 -1.662110773506518147e+00 9.741345148954823063e-01 -1.820189446954838752e+00 9.186380904261681746e-01
2.200000000000000000e+01 -1.180500945235567478e+00 1.013354073999129135e+00 -1.367016676146756593e+00 9.806849223926781267e-01
2.300000000000000000e+01 -1.309667006227007935e+00 1.011162564448895518e+00 -1.500608133288476198e+00 9.552300553852149934e-01
2.400000000000000000e+01 -1.399868508875814044e+00 9.686634323302462102e-01 -1.608571083902400112e+00 9.112051064026845948e-01
