# N_blocks dG1_mean dG1_std dG2_mean dG2_std
3.000000000000000000e+00 -1.297267501588537186e+01 4.481635107275568908e-01 -1.293310796339820534e+01 4.548950444750738953e-01
4.000000000000000000e+00 -1.291592906619531078e+01 5.402394285434263255e-01 -1.287924450188861059e+01 5.577971415386638876e-01
5.000000000000000000e+00 -1.293893037961099779e+01 4.164221602966290958e-01 -1.290160697207076623e+01 4.326698501253265494e-01
6.000000000000000000e+00 -1.292051751994972619e+01 3.895853853460981009e-01 -1.288174644915083178e+01 3.968836395185358912e-01
7.000000000000000000e+00 -1.274444437189315771e+01 5.654388802529868308e-01 -1.270834996376249748e+01 5.736566386011977547e-01
8.000000000000000000e+00 -1.257832705160888409e+01 6.569469295902197192e-01 -1.254351962513917229e+01 6.631285126039928590e-01
9.000000000000000000e+00 -1.257747897429572603e+01 5.790119161451240393e-01 -1.254107549893637774e+01 5.853891481367067273e-01
1.000000000000000000e+01 -1.144372923257162356e+01 1.442981967562535939e+00 -1.141255432350052601e+01 1.450251463344012004e+00
1.100000000000000000e+01 -1.225574494971772310e+01 7.267318301943770376e-01 -1.221816298830957059e+01 7.257665369933546939e-01
1.200000000000000000e+01 -1.183178926133545872e+01 1.302381816471121834e+00 -1.175985155870910148e+01 1.326965830567487847e+00
1.300000000000000000e+01 -1.143499669949606279e+01 1.253193849906819812e+00 -1.137937395934678264e+01 1.275517470008001419e+00
1.400000000000000000e+01 -1.067133284426836859e+01 1.410561812285394678e+00 -1.062478116013116747e+01 1.422535219864321521e+00
1.500000000000000000e+01 -1.114102767227493906e+01 1.261567764648021672e+00 -1.107602336898166229e+01 1.285803682907760814e+00
1.600000000000000000e+01 -1.002859564441645901e+01 1.588439879735158877e+00 -1.030085725396217811e+01 1.410862886519067994e+00
1.700000000000000000e+01 -1.042791916101921146e+01 1.243357012821843854e+00 -1.038734746818793475e+01 1.239847050516390325e+00
1.800000000000000000e+01 -8.933111896209700475e+00 1.985499913091650637e+00 -7.496302194277193465e+00 2.820043080470126196e+00
1.900000000000000000e+01 -7.811830044286355523e+00 2.086190214665230691e+00 -7.792401453594325567e+00 2.159160738318732342e+00
2.000000000000000000e+01 -7.826005004448369107e+00 2.020714467170304118e+00 -7.969396409769361256e+00 2.032412265675498375e+00
2.100000000000000000e+01 -5.447620677249181753e+00 3.168741653112947976e+00 -5.967130655881744516e+00 2.823292849626333201e+00
2.200000000000000000e+01 -1.004518846511709995e+01 1.258578923629043445e+00 -9.320156346436233363e+00 1.772426024880059625e+00
2.300000000000000000e+01 -8.636167518320464254e+00 1.675294955067561098e+00 -7.615955630428901557e+00 2.266685274579389731e+00
2.400000000000000000e+01 -3.715606618834067731e+00 3.389919369798435334e+00 -5.426571274184372129e+00 2.582023380286514236e+00
